"symbol","name","exchange","cik"
"ATX","A T CROSS CO","AMEX","0000025793"
"FAX","ABERDEEN ASIA PA","AMEX","0000790500"
"IAF","ABERDEEN AUST","AMEX","0000779336"
"FCO","ABERDEEN GL INCM","AMEX","0001302624"
"AAC","ABLEAUCTIONS.COM","AMEX","1099290"
"AIH","ABLEST INC","AMEX","0000046653"
"ABP","ABRAXAS PETROL O","AMEX","0000867665"
"NKN","ACC RET NTS LNKD","AMEX","0001137719"
"AXK","ACCELR8 TECH CP","AMEX","0000727207"
"ACU","ACME UNITED CORP","AMEX","0000002098"
"BRR","ACR GROUP","AMEX","0000711307"
"AE","ADAMS RES & ENER","AMEX","0000002178"
"ADK","ADCARE HEALTH SY","AMEX","1004724"
"AEY","ADDVANTAGE TECH","AMEX","0000874292"
"ADH","ADHEREX TECHNOLO","AMEX","0000874710"
"API","ADVANCED PHOTO O","AMEX","0000869986"
"ANX","ADVENTRX PHARM O","AMEX","0001160308"
"ACY","AEROCENTURY","AMEX","0001036848"
"AIM","AEROSONIC CORP","AMEX","0000109471"
"RIF","AEW RL ESTATE FD","AMEX","1191256"
"ANS","AIRNET SYSTEMS","AMEX","0001011696"
"ADG","ALLIED DEFNSE GP","AMEX","0000003952"
"AAU","ALMADEN MINERALS","AMEX","0001015647"
"APT","ALPHA PRO TECH","AMEX","0000884269"
"ALT","ALTEON ORD","AMEX","0000878903"
"CAS","AM CASTLE CO","AMEX","0000018172"
"DIT","AMCON DIST CO","AMEX","0000928465"
"ADL","AMDL ORD","AMEX","0000838879"
"ABL","AMER BILTRITE","AMEX","0000004611"
"APO","AMER COMM PPTYS","AMEX","0001065645"
"AIP","AMER ISRAELI PAP","AMEX","0000005337"
"AMC","AMER MTG ACCEPT","AMEX","0000878774"
"AMS","AMER SHARED HOSP","AMEX","0000744825"
"AQQ","AMER SPEC RLTY O","AMEX","0001121783"
"AMK","AMER TECH CERAMC","AMEX","0000766430"
"XSI","AMERICAN CARESOU","AMEX","1316645"
"AEZ","AMERICAN OIL GAS","AMEX","0001120916"
"TES","AMERICAN TELCOM","AMEX","1336467"
"AMY","AMREIT ORD","AMEX","0000913957"
"AMM","AMS HEALTH SCNCS","AMEX","0000841866"
"ANO","ANOORAQ RESC","AMEX","1028277"
