"name","symbol","CIK"
"ABERDEEN ASIA","FAX",NULL
"ABERDEEN AUST","IAF",NULL
"ABLEAUCTION COM","AAC",NULL
"ABLEST","AIH",NULL
"ABRAXAS PETROL","ABP",NULL
"ACADIANA BANCSH","ANA",NULL
"ACCESS PHARM","AKC",NULL
"ACME UNITED","ACU","0000002098"
"ADAMS RESOURCES","AE",NULL
"ADV MAGNETICS","AVM",NULL
"ADVANCED PHOTO","API",NULL
"ADVANTAGE MKTG","AMM",NULL
"AEGIS REALTY","AER",NULL
"AEROCENTURY","ACY",NULL
"AEROSONIC","AIM",NULL
"AEW REAL ESTATE FD","RIF",NULL
"ALARIS MEDICAL","AMI",NULL
"ALLIANCE BNCP","ANE",NULL
"ALLIED DEFENSE","ADG",NULL
"ALLIED HEALTH","ADH",NULL
"ALLIED HLDGS","AHI",NULL
"ALLOU HEALTHCARE STK A","ALU",NULL
"ALPHA PRO TECH","APT",NULL
"ALTEON","ALT",NULL
"ALTERRA HLTHCARE","ALI",NULL
"AM CASTLE","CAS","0000018172"
"AMC ENTERTAINMNT","AEN",NULL
"AMCON DISTRIB","DIT",NULL
"AMDL","ADL",NULL
"AMER BILTRITE","ABL",NULL
"AMER COMM PPTYS","APO","0001065645"
"AMER INSURED","AIA",NULL
"AMER INSURED","AII",NULL
"AMER INSURED","AIJ",NULL
"AMER INSURED","AIK",NULL
"AMER ISRAEL PAP","AIP",NULL
"AMER MTG ACCEPT","AMC",NULL
"AMER SCIENCE","ASE",NULL
"AMER SHARED","AMS",NULL
"AMER SPEC RLTY","AQQ","0001121783"
"AMER TECHNICAL","AMK",NULL
"AMER VANGUARD","AVD",NULL
"AMERIVEST PROP","AMV",NULL
"AMPEX","AXC",NULL
"AMREIT","AMY",NULL
"ANDREA ELTR","AND",NULL
"ANTEX BIOLOGICS","ANX","0001160308"
"ANWORTH MORTGAGE","ANH",NULL
"APEX MTG CAPITAL","AXM",NULL
"APEX SILVER","SIL","0001011509"
"APPLIED GRAPHICS","AGD",NULL
"AQUACELL TECH","AQA",NULL
"ARIZONA LAND","AZL",NULL
"ARRHYTHMIA RSC","HRT",NULL
"ARV ASSTD LIVING","SRS",NULL
"AT CROSS","ATX","0000025793"
"ATC HEALTHCARE STK A","AHN",NULL
"ATEC GROUP INC","TEC","0001131072"
"ATLANTIC PREMIUM","ABR","0001253986"
"ATLANTIC TEL NET","ANK",NULL
"ATLANTIS PLAST","AGH",NULL
"ATLAS PIPELINE","APL","0001092914"
"ATSI COMMUNICATN","AI",NULL
"AVALON HOLDINGS STK A","AWX","0001061069"
"AVANIR PHARM","AVN",NULL
"AVITAR","AVR",NULL
"AXS ONE","AXO",NULL
"AZCO MININGS","AZC",NULL
"B2B INTERNET ML ETF ADR","BHH",NULL
"BADGER METER","BMI",NULL
"BALCHEM","BCP",NULL
"BALDWIN TECH","BLD",NULL
"BANCROFT CONV FD","BCV",NULL
"BAR HARBOR BK","BHB",NULL
"BARNWELL INDS","BRN",NULL
"BARRISTER GLOBAL","BIS",NULL
"BAY STATE BANCP","BYS",NULL
"BAYCORP HLDGS","MWH",NULL
"BAYOU STEEL","BYX",NULL
"BELL INDUSTRIES","BI",NULL
"BEMA GOLD","BGO",NULL
"BENNETT ENVNMTL","BEL",NULL
"BENTLEY PHARM","BNT",NULL
"BERGSTROM CAP","BEM",NULL
"BERKSHIRE HILLS","BHL",NULL
"BEXIL FD","BXL",NULL
"BIG CITY RADIO","YFM",NULL
"BIO RAD","BIO","0000012208"
"BIO RAD STK B","BIO.B",NULL
"BIONOVA HOLDING","BVA",NULL
"BIOTIME","BTX",NULL
